URL,Notes
www.nybooks.com,Evaluate for parser addition
cdm16921.contentdm.oclc.org,Evaluate for parser addition
cgsc.contentdm.oclc.org,Evaluate for parser addition
cart.ons.org,Evaluate for parser addition
cjon.ons.org,Evaluate for parser addition
onf.ons.org,Evaluate for parser addition
www.ons.org,Evaluate for parser addition
metasearch.opinionarchives.com,Evaluate for parser addition
search.opinionarchives.com,Evaluate for parser addition
support.pep-web.org,Evaluate for parser addition
www.pep-web.org,Evaluate for parser addition
emory.pitchbook.com,Evaluate for parser addition
files.pitchbook.com,Evaluate for parser addition
help.pitchbook.com,Evaluate for parser addition
image.pitchbook.com,Evaluate for parser addition
my.pitchbook.com,Evaluate for parser addition
pitchbook.com,Evaluate for parser addition
access.portico.org,Evaluate for parser addition
portlandpress.com,Evaluate for parser addition
phoenix.reltech.org,Evaluate for parser addition
www.responsa.co.il,Evaluate for parser addition
www.rkma.com,Evaluate for parser addition
royalsocietypublishing.org,Evaluate for parser addition
rrimo.com,Evaluate for parser addition
pubs.rsna.org,Evaluate for parser addition
www.rsna.org,Evaluate for parser addition
m.proquest.safaribooksonline.com,Evaluate for parser addition
proquest.safaribooksonline.com,Evaluate for parser addition
www.scconline.com,Evaluate for parser addition
www.scielo.br,Evaluate for parser addition
blogs.sciencemag.org,Evaluate for parser addition
immunology.sciencemag.org,Evaluate for parser addition
robotics.sciencemag.org,Evaluate for parser addition
search.sciencemag.org,Evaluate for parser addition
spj.sciencemag.org,Evaluate for parser addition
aapt.scitation.org,Evaluate for parser addition
aca.scitation.org,Evaluate for parser addition
asa.scitation.org,Evaluate for parser addition
avs.scitation.org,Evaluate for parser addition
physicstoday.scitation.org,Evaluate for parser addition
sor.scitation.org,Evaluate for parser addition
www.scitation.org,Evaluate for parser addition
collections.si.edu,Evaluate for parser addition
ids.si.edu,Evaluate for parser addition
hanchi.ihp.sinica.edu.tw,Evaluate for parser addition
pages.marketintelligence.spglobal.com,Evaluate for parser addition
sso.spglobal.com,Evaluate for parser addition
www.spglobal.com,Evaluate for parser addition
www.sportsmarketanalytics.com,Evaluate for parser addition
hq.ssrn.com,Evaluate for parser addition
papers.ssrn.com,Evaluate for parser addition
poseidon01.ssrn.com,Evaluate for parser addition
static.ssrn.com,Evaluate for parser addition
www.ssrn.com,Evaluate for parser addition
www.stata-journal.com,Evaluate for parser addition
thediplomat.com,Evaluate for parser addition
thejns.org,Evaluate for parser addition
hunteq.com,Evaluate for parser addition
foundationcenter.typepad.com,Evaluate for parser addition
uclajournals.org,Evaluate for parser addition
assets.ucpress.edu,Evaluate for parser addition
online.ucpress.edu,Evaluate for parser addition
www.ucpress.edu,Evaluate for parser addition
deepblue.lib.umich.edu,Evaluate for parser addition
umich.edu,Evaluate for parser addition
comtrade.un.org,Evaluate for parser addition
unstats.un.org,Evaluate for parser addition
adni.loni.usc.edu,Evaluate for parser addition
vha.usc.edu,Evaluate for parser addition
ailla.utexas.org,Evaluate for parser addition
jps.library.utoronto.ca,Evaluate for parser addition
tapor.library.utoronto.ca,Evaluate for parser addition
tspace.library.utoronto.ca,Evaluate for parser addition
investors.valueline.com,Evaluate for parser addition
research.valueline.com,Evaluate for parser addition
www.valueline.com,Evaluate for parser addition
app.vlex.com,Evaluate for parser addition
vcite.elb.vlex.com,Evaluate for parser addition
www.vr-elibrary.de,Evaluate for parser addition
server.wenzibase.com,Evaluate for parser addition
aap.onlinelibrary.wiley.com,Parking Lot
acamh.onlinelibrary.wiley.com,Parking Lot
account.wiley.com,Parking Lot
accpjournals.onlinelibrary.wiley.com,Parking Lot
acsess.onlinelibrary.wiley.com,Parking Lot
acsjournals.onlinelibrary.wiley.com,Parking Lot
afspubs.onlinelibrary.wiley.com,Parking Lot
aiche.onlinelibrary.wiley.com,Parking Lot
alz-journals.onlinelibrary.wiley.com,Parking Lot
anatomypubs.onlinelibrary.wiley.com,Parking Lot
aocs.onlinelibrary.wiley.com,Parking Lot
aornjournal.onlinelibrary.wiley.com,Parking Lot
aps.onlinelibrary.wiley.com,Parking Lot
asbmr.onlinelibrary.wiley.com,Parking Lot
asi.onlinelibrary.wiley.com,Parking Lot
associationofanaesthetists-publications.onlinelibrary.wiley.com,Parking Lot
authorservices.wiley.com,Parking Lot
bera-journals.onlinelibrary.wiley.com,Parking Lot
besjournals.onlinelibrary.wiley.com,Parking Lot
bjssjournals.onlinelibrary.wiley.com,Parking Lot
bjui-journals.onlinelibrary.wiley.com,Parking Lot
bpspsychub.onlinelibrary.wiley.com,Parking Lot
bpspubs.onlinelibrary.wiley.com,Parking Lot
bsapubs.onlinelibrary.wiley.com,Parking Lot
bsppjournals.onlinelibrary.wiley.com,Parking Lot
ceramics.onlinelibrary.wiley.com,Parking Lot
chemistry-europe.onlinelibrary.wiley.com,Parking Lot
conbio.onlinelibrary.wiley.com,Parking Lot
currentprotocols.onlinelibrary.wiley.com,Parking Lot
dom-pubs.onlinelibrary.wiley.com,Parking Lot
ejpr.onlinelibrary.wiley.com,Parking Lot
esajournals.onlinelibrary.wiley.com,Parking Lot
external-sso.wiley.com,Parking Lot
faseb.onlinelibrary.wiley.com,Parking Lot
febs.onlinelibrary.wiley.com,Parking Lot
headachejournal.onlinelibrary.wiley.com,Parking Lot
iaap-journals.onlinelibrary.wiley.com,Parking Lot
ifst.onlinelibrary.wiley.com,Parking Lot
ila.onlinelibrary.wiley.com,Parking Lot
iubmb.onlinelibrary.wiley.com,Parking Lot
jlb.onlinelibrary.wiley.com,Parking Lot
londmathsoc.onlinelibrary.wiley.com,Parking Lot
nph.onlinelibrary.wiley.com,Parking Lot
nyaspubs.onlinelibrary.wiley.com,Parking Lot
obgyn.onlinelibrary.wiley.com,Parking Lot
ordering.onlinelibrary.wiley.com,Parking Lot
physoc.onlinelibrary.wiley.com,Parking Lot
rai.onlinelibrary.wiley.com,Parking Lot
rmets.onlinelibrary.wiley.com,Parking Lot
rss.onlinelibrary.wiley.com,Parking Lot
setac.onlinelibrary.wiley.com,Parking Lot
sfamjournals.onlinelibrary.wiley.com,Parking Lot
sigmapubs.onlinelibrary.wiley.com,Parking Lot
spssi.onlinelibrary.wiley.com,Parking Lot
srcd.onlinelibrary.wiley.com,Parking Lot
stemcellsjournals.onlinelibrary.wiley.com,Parking Lot
wildlife.onlinelibrary.wiley.com,Parking Lot
wolbookstore.wiley.com,Parking Lot
wolsupport.wiley.com,Parking Lot
www.els.net,Parking Lot
zslpublications.onlinelibrary.wiley.com,Parking Lot
search.wisersone.com,Evaluate for parser addition
www.wisersone.com,Evaluate for parser addition
www.worldscientific.com,Evaluate for parser addition
asset.wsj.net,Evaluate for parser addition
graphics.wsj.com,Evaluate for parser addition
images.wsj.net,Evaluate for parser addition
s.wsj.net,Evaluate for parser addition
sts3.wsj.net,Evaluate for parser addition
vir.wsj.net,Evaluate for parser addition
wsjstream.wsj.net,Evaluate for parser addition
